UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Hdr %,Hdrs  W/90,Tck R,Hdrs W/90,Tck/90,Blk/90,Poss Won/90,Poss Lost/90
29023464,Aarran Racine,D (C),32,"6'2""",0,300,,30/6/2025,2570,Tonbridge,Vanarama National League South,1,48,86.0,77.0,81.0,4.1,14.78,77.0,0.0,81.0,6.37,0.91,0.49,14.78,4.1
29161623,Adam Lund,DM,25,"5'11""",0,180,,30/6/2025,3709,Alfreton,Vanarama National League North,1,51,83.0,77.0,77.0,11.31,10.51,77.0,0.0,77.0,5.12,2.26,0.39,10.51,11.31
29233180,Brooklyn Kabongolo,D (C),21,"6'4""",0,450,,30/6/2024,1024,Maidstone,Vanarama National League South,1,50,81.0,77.0,100.0,5.54,11.69,77.0,0.0,100.0,7.29,0.44,1.14,11.69,5.54
28028403,Conor Branson,"DM, M (C)",32,"6'2""",0,300,,30/6/2024,2947,Farsley,Vanarama National League North,1,46,85.0,77.0,71.0,8.7,11.27,77.0,0.0,71.0,5.13,1.92,0.61,11.27,8.7
2000022079,Ethan Sutcliffe,D (C),20,"6'1""",0,375,,30/6/2025,1165,Scunthorpe,Vanarama National League North,1,64,90.0,77.0,75.0,7.18,13.91,77.0,0.0,75.0,7.88,0.46,0.15,13.91,7.18
29235898,Ronny Nelson,D (C),20,"6'5""",0,575,,30/6/2025,3727,Worthing,Vanarama National League South,1,50,86.0,77.0,84.0,4.73,11.33,77.0,0.0,84.0,6.59,1.18,0.51,11.33,4.73
28049315,Zaine Francis-Angol,D/WB (L),30,"5'8""",0,475,,30/6/2024,3085,Buxton,Vanarama National League North,1,48,84.0,77.0,83.0,11.49,14.0,77.0,0.0,83.0,4.29,2.28,0.50,14.0,11.49
29127855,Isaac Assenso,D (C),27,"6'3""",0,230,,30/6/2024,2273,Farsley,Vanarama National League North,1,46,76.0,76.0,76.0,11.28,13.07,76.0,0.0,76.0,7.17,1.15,0.48,13.07,11.28
29038155,Blaine Hudson,D (C),32,"6'5""",0,300,,30/6/2025,2330,Chelmsford,Vanarama National League South,1,56,79.0,76.0,75.0,5.25,19.58,76.0,0.0,75.0,6.72,0.81,0.42,19.58,5.25
52070952,Gary Boylan,"D (R), M (C)",28,"6'0""",0,450,,30/6/2025,2116,Weston-super-Mare,Vanarama National League South,1,50,84.0,76.0,78.0,13.14,13.65,76.0,0.0,78.0,5.49,1.62,0.43,13.65,13.14
29219122,Jalil Saadi,D (C),22,"6'3""",0,875,,30/6/2024,3474,Yeovil,Vanarama National League South,1,50,83.0,76.0,78.0,3.16,14.97,76.0,0.0,78.0,5.85,0.98,0.44,14.97,3.16
2000211483,Aaron Harper-Bailey,D (C),22,"6'3""",0,475,,30/6/2024,3847,Gloucester,Vanarama National League North,1,47,85.0,76.0,76.0,7.81,14.74,76.0,0.0,76.0,6.90,1.05,0.51,14.74,7.81
2000192553,Charlie Stallard,D (C),20,"6'2""",0,525,,30/6/2024,3312,Hemel Hempstead,Vanarama National League South,1,46,87.0,75.0,82.0,3.91,17.74,75.0,0.0,82.0,6.39,1.09,0.30,17.74,3.91
2000108352,Charlie Hayes-Green,D (C),19,"6'0""",0,575,,30/6/2025,1260,Peterborough Sports,Vanarama National League North,1,47,85.0,75.0,91.0,10.71,15.21,75.0,0.0,91.0,6.29,1.43,0.29,15.21,10.71
29111157,Alex Finney,D (C),27,"6'4""",0,800,,30/6/2024,4335,Eastbourne Borough,Vanarama National League South,1,57,82.0,75.0,74.0,4.94,16.46,75.0,0.0,74.0,6.66,1.08,0.27,16.46,4.94
29128545,Kyron Farrell,D (L),26,"5'11""",0,250,,30/6/2024,3999,Tamworth,Vanarama National League North,1,51,81.0,75.0,82.0,13.68,15.71,75.0,0.0,82.0,5.09,2.14,0.70,15.71,13.68
2000120904,George Milner-Smith,D (C),20,"6'4""",0,300,,30/6/2025,1440,Dartford,Vanarama National League South,1,51,86.0,75.0,87.0,3.5,13.94,75.0,0.0,87.0,6.38,0.81,0.75,13.94,3.5
29132088,Adam Anson,D (C),27,"6'0""",0,475,,30/6/2024,4559,Southport,Vanarama National League North,1,50,80.0,75.0,71.0,8.84,11.73,75.0,0.0,71.0,6.14,0.71,0.32,11.73,8.84
28094135,Evan Gumbs,D (C),26,"5'10""",0,180,,30/6/2024,3750,Warrington,Vanarama National League North,1,44,80.0,75.0,82.0,10.13,13.63,75.0,0.0,82.0,6.17,1.54,0.60,13.63,10.13
31042036,Baris Altintop,D (RC),23,"6'2""",0,475,,30/6/2025,4353,Braintree,Vanarama National League South,1,50,87.0,75.0,76.0,4.84,18.53,75.0,0.0,76.0,5.71,1.08,0.41,18.53,4.84
2000255196,Jet Dyer,D (LC),19,"6'4""",0,350,,30/6/2025,2224,Aveley,Vanarama National League South,1,44,87.0,75.0,81.0,8.54,13.15,75.0,0.0,81.0,6.07,1.7,0.45,13.15,8.54
5113683,Connell Rawlinson,D (C),32,"6'3""",0,925,,30/6/2025,2760,Yeovil,Vanarama National League South,1,50,80.0,74.0,83.0,2.61,16.3,74.0,0.0,83.0,6.33,1.08,0.42,16.3,2.61
89024046,Jordaan Brown,D (C),32,"6'2""",0,120,,30/6/2024,4145,Rushall,Vanarama National League North,1,50,79.0,74.0,79.0,10.9,13.85,74.0,0.0,79.0,7.93,0.98,0.76,13.85,10.9
31035171,Jacob Mensah,D (C),23,"6'0""",0,350,,-,4214,Dover,Vanarama National League South,1,49,81.0,74.0,78.0,4.83,16.19,74.0,0.0,78.0,6.49,1.15,0.45,16.19,4.83
2000239586,Finlay Heath,DM,20,"6'1""",0,120,,30/6/2024,3877,Southport,Vanarama National League North,1,50,84.0,74.0,77.0,8.47,9.73,74.0,0.0,77.0,5.04,2.09,0.44,9.73,8.47
2000053510,Jay Haddow,D/WB (R),20,"6'1""",0,575,,30/6/2025,2731,Southport,Vanarama National League North,1,50,79.0,74.0,77.0,13.87,14.47,74.0,0.0,77.0,6.13,2.47,0.73,14.47,13.87
2000187733,Fuad Adeniyi,D (C),29,"6'0""",0,525,,30/6/2025,1668,Weymouth,Vanarama National League South,1,50,81.0,74.0,76.0,3.94,12.63,74.0,0.0,76.0,5.45,1.19,0.38,12.63,3.94
29072743,Zak Mills,D/WB (R),32,"6'0""",0,475,,30/6/2024,3732,Boston Utd,Vanarama National League North,1,58,82.0,74.0,78.0,20.57,14.61,74.0,0.0,78.0,5.88,1.74,1.04,14.61,20.57
90055831,Josh Granite,D (C),32,"6'0""",0,525,,30/6/2024,4220,Buxton,Vanarama National League North,1,48,77.0,74.0,73.0,10.02,12.73,74.0,0.0,73.0,7.06,0.64,0.32,12.73,10.02
90083933,Morgan Williams,D (RC),24,"6'2""",0,"1,200",,30/6/2026,2220,Yeovil,Vanarama National League South,1,50,83.0,73.0,84.0,8.35,13.09,73.0,0.0,84.0,5.15,1.7,0.45,13.09,8.35
2000140692,Raphael Araoye,D (LC),19,"6'4""",0,525,,30/6/2025,3654,Havant & W,Vanarama National League South,1,48,86.0,73.0,76.0,3.79,21.4,73.0,0.0,76.0,6.18,0.96,0.54,21.4,3.79
29141826,Sam Bone,"D (RC), WB (R)",25,"6'5""",0,700,,30/6/2024,3108,Maidstone,Vanarama National League South,1,50,85.0,73.0,78.0,12.28,16.71,73.0,0.0,78.0,4.63,2.03,0.75,16.71,12.28
29233208,Kacper GruszczyÅski,D (L),20,"5'11""",0,250,,30/6/2024,3798,Warrington,Vanarama National League North,1,44,81.0,73.0,83.0,13.77,15.55,73.0,0.0,83.0,5.45,2.56,1.02,15.55,13.77
2000075967,Alex Touche,D (C),24,"6'4""",0,550,,30/6/2024,4039,Boston Utd,Vanarama National League North,1,58,89.0,73.0,83.0,6.55,14.02,73.0,0.0,83.0,9.23,0.96,0.53,14.02,6.55
29006267,Andrew Boyce,D (C),34,"6'4""",0,"1,200",,30/6/2024,2742,Scunthorpe,Vanarama National League North,1,64,87.0,73.0,82.0,9.42,13.88,73.0,0.0,82.0,7.55,1.02,0.43,13.88,9.42
28099015,Ben Pollock,"D (C), DM, M (C)",26,"6'1""",0,475,,30/6/2025,1202,Spennymoor,Vanarama National League North,1,46,79.0,73.0,71.0,9.88,11.83,73.0,0.0,71.0,6.66,0.75,0.45,11.83,9.88
28106570,Louis Hall,D/WB (L),25,"6'0""",0,180,,30/6/2024,3693,Banbury,Vanarama National League North,1,44,81.0,73.0,74.0,13.89,14.67,73.0,0.0,74.0,5.31,2.0,0.97,14.67,13.89
28110490,Scott Wilson,D (LC),24,"6'1""",0,400,,30/6/2024,4162,Chorley,Vanarama National League North,1,59,86.0,73.0,91.0,9.51,13.1,73.0,0.0,91.0,4.71,1.86,0.76,13.1,9.51
2000143990,Louis Hutchings,D (C),19,"6'1""",0,60,,30/6/2024,3855,Rushall,Vanarama National League North,1,50,81.0,73.0,82.0,8.89,12.19,73.0,0.0,82.0,5.77,1.17,0.51,12.19,8.89
2000144013,Zak Johnson,D (C),19,"6'2""",0,"1,200",,30/6/2026,3943,South Shields,Vanarama National League North,1,50,91.0,73.0,83.0,7.24,14.56,73.0,0.0,83.0,5.93,0.91,0.66,14.56,7.24
2000140700,Jamie Knight-Lebel,D (C),18,"6'2""",0,575,,30/6/2025,1809,Brackley,Vanarama National League North,1,45,83.0,73.0,73.0,9.65,15.42,73.0,0.0,73.0,9.70,1.19,0.35,15.42,9.65
29234385,Luis Fernandez,D (C),22,"6'1""",0,475,,30/6/2026,3629,Hampton & Richmond,Vanarama National League South,1,50,82.0,73.0,86.0,4.69,16.84,73.0,0.0,86.0,6.30,1.04,0.37,16.84,4.69
29193987,Keenan Ferguson,D (R),23,"6'0""",0,350,,30/6/2025,2236,Spennymoor,Vanarama National League North,1,46,83.0,73.0,88.0,12.48,14.45,73.0,0.0,88.0,4.79,3.22,0.68,14.45,12.48
90075628,Matt Curley,D/WB (R),28,"5'9""",0,230,,30/6/2024,3898,Tamworth,Vanarama National League North,1,51,82.0,72.0,81.0,13.53,15.7,72.0,0.0,81.0,5.68,1.64,0.67,15.7,13.53
2000142139,Bayley McCann,D/WB (L),18,"5'11""",0,600,,30/6/2026,1149,Scunthorpe,Vanarama National League North,1,64,88.0,72.0,78.0,9.79,13.79,72.0,0.0,78.0,3.45,2.27,0.78,13.79,9.79
2000260847,Lewis Hudson,D (L),25,"5'9""",0,475,,31/5/2025,3921,Hereford,Vanarama National League North,1,50,82.0,72.0,84.0,12.65,12.83,72.0,0.0,84.0,3.76,2.75,0.62,12.83,12.65
29173563,Ross Marshall,D (C),24,"6'3""",0,500,,30/6/2025,1698,Torquay,Vanarama National League South,1,52,83.0,72.0,86.0,4.08,14.05,72.0,0.0,86.0,6.52,1.01,0.58,14.05,4.08
29003821,Mark Ellis,D (C),35,"6'2""",0,350,,30/6/2024,4133,Chorley,Vanarama National League North,1,59,85.0,72.0,81.0,8.95,10.65,72.0,0.0,81.0,5.07,0.94,0.35,10.65,8.95
29217916,Duncan Idehen,D (C),21,"5'10""",0,700,,30/6/2024,1525,Worthing,Vanarama National League South,1,50,81.0,72.0,92.0,5.08,14.28,72.0,0.0,92.0,5.19,1.3,0.59,14.28,5.08
2000044172,Aidan Coyne,D (C),20,"6'0""",0,475,,30/6/2024,1220,Dover,Vanarama National League South,1,49,84.0,71.0,80.0,4.72,14.61,71.0,0.0,80.0,5.46,0.89,0.89,14.61,4.72
28047460,Andre Wisdom,D (RC),31,"6'1""",0,120,,30/6/2024,4344,Warrington,Vanarama National League North,1,44,81.0,71.0,83.0,10.77,13.74,71.0,0.0,83.0,6.07,1.91,0.56,13.74,10.77
29225855,Tom Harrison,D (C),23,"6'2""",0,325,,30/6/2025,1702,Truro,Vanarama National League South,1,48,79.0,71.0,96.0,5.66,11.0,71.0,0.0,96.0,5.71,1.27,0.32,11.0,5.66
29218210,Nico Jones,D (C),22,"6'3""",0,0,,-,1770,Welling,Vanarama National League South,1,46,79.0,71.0,83.0,5.19,17.34,71.0,0.0,83.0,6.76,1.27,0.46,17.34,5.19
28037033,Adam Blakeman,D/WB (L),32,"5'11""",0,525,,30/6/2024,1557,Chorley,Vanarama National League North,1,59,84.0,71.0,82.0,16.07,11.62,71.0,0.0,82.0,3.47,2.31,0.52,11.62,16.07
29231812,Luke Haines,"D (C), DM, M (C)",23,"6'1""",0,230,,30/6/2024,3791,Chippenham,Vanarama National League South,1,51,88.0,70.0,73.0,7.72,10.21,70.0,0.0,73.0,3.89,1.76,0.38,10.21,7.72
29139507,George Fowler,D (RC),26,"6'1""",0,575,,30/6/2024,1890,Maidstone,Vanarama National League South,1,50,82.0,70.0,86.0,18.1,9.62,70.0,0.0,86.0,4.76,1.81,0.71,9.62,18.1
2000048049,Kanye Jobson,D (C),20,"5'11""",0,350,,30/6/2025,3140,Farnborough,Vanarama National League South,1,51,85.0,69.0,88.0,4.16,19.15,69.0,0.0,88.0,5.02,1.0,0.57,19.15,4.16
29128504,Jack Doyle,D (L),27,"5'10""",0,475,,30/6/2024,4393,Southport,Vanarama National League North,1,50,78.0,69.0,83.0,14.57,13.95,69.0,0.0,83.0,3.63,3.07,0.72,13.95,14.57
2000027336,Harry Leeson,D (R),20,"6'0""",0,950,,30/6/2025,1418,Dartford,Vanarama National League South,1,51,83.0,69.0,78.0,13.39,11.49,69.0,0.0,78.0,5.52,2.03,0.51,11.49,13.39
31042033,Joe Grimwood,D (C),23,"6'2""",0,230,,30/6/2024,3284,Braintree,Vanarama National League South,1,50,82.0,69.0,72.0,4.47,13.07,69.0,0.0,72.0,5.37,0.99,0.49,13.07,4.47
90024540,Alex Gudger,D (C),31,"6'0""",0,925,,30/6/2024,3961,Brackley,Vanarama National League North,1,45,83.0,69.0,79.0,9.36,12.41,69.0,0.0,79.0,7.11,0.77,0.52,12.41,9.36
29235126,Luke Jenkins,D (C),21,"5'10""",0,230,,-,4763,Chelmsford,Vanarama National League South,1,56,85.0,69.0,82.0,5.65,18.16,69.0,0.0,82.0,5.12,1.42,0.55,18.16,5.65
5112949,Dean Moxey,D (C),38,"6'2""",0,"1,000",,30/6/2024,3337,Torquay,Vanarama National League South,1,52,83.0,68.0,88.0,3.86,18.12,68.0,0.0,88.0,6.23,1.16,0.46,18.12,3.86
28029487,Paul Downing,D (C),32,"6'1""",0,700,,30/6/2024,1992,Hereford,Vanarama National League North,1,50,84.0,68.0,74.0,7.73,13.19,68.0,0.0,74.0,6.42,0.77,0.54,13.19,7.73
29071976,Sam Minihan,D (R),30,"5'9""",0,350,,30/6/2024,3666,Buxton,Vanarama National League North,1,48,79.0,68.0,85.0,17.23,14.98,68.0,0.0,85.0,5.52,2.04,0.54,14.98,17.23
29179541,Jack James,D/WB (R),24,"6'1""",0,350,,30/6/2024,3506,St. Albans,Vanarama National League South,1,50,82.0,68.0,77.0,14.25,8.86,68.0,0.0,77.0,4.49,2.0,0.74,8.86,14.25
29125468,Michael Ledger,"D (RC), WB (R)",26,"6'1""",0,350,,30/6/2024,3170,Spennymoor,Vanarama National League North,1,46,85.0,67.0,82.0,10.5,14.79,67.0,0.0,82.0,5.00,2.81,0.65,14.79,10.5
28066268,Kyle Callan-McFadden,D (C),29,"6'0""",0,825,,30/6/2024,4168,King's Lynn,Vanarama National League North,1,50,81.0,67.0,76.0,10.56,14.12,67.0,0.0,76.0,7.28,1.17,0.39,14.12,10.56
28047459,Alex Whittle,D (L),31,"5'8""",0,550,,30/6/2026,2261,Yeovil,Vanarama National League South,1,50,85.0,67.0,79.0,12.22,13.33,67.0,0.0,79.0,4.02,2.19,0.80,13.33,12.22
2000121237,Kieran Burton,D (LC),21,"6'2""",0,575,,30/6/2025,2401,Eastbourne Borough,Vanarama National League South,1,57,85.0,67.0,73.0,3.97,13.23,67.0,0.0,73.0,5.25,1.24,0.26,13.23,3.97
85030793,RÃ©my Clerima,D/WB (R),33,"6'2""",0,650,,30/6/2024,1533,Maidenhead,Vanarama National League,1,50,84.0,67.0,73.0,16.32,10.8,67.0,0.0,73.0,5.64,1.41,0.35,10.8,16.32
2000135400,Declan Hutchings,D/M (C),19,"5'11""",0,475,,30/6/2025,3879,Weston-super-Mare,Vanarama National League South,1,50,86.0,67.0,86.0,3.48,16.06,67.0,0.0,86.0,4.62,0.86,0.51,16.06,3.48
90057675,Dwayne Wiley,D (C),32,"6'1""",0,300,,30/6/2024,1551,Alfreton,Vanarama National League North,1,51,76.0,67.0,74.0,12.19,14.74,67.0,0.0,74.0,5.45,1.8,0.35,14.74,12.19
56000036,Shaun Williams,"DM, M (C)",37,"6'0""",0,750,,30/6/2025,1356,Hartlepool,Vanarama National League,1,50,91.0,66.0,76.0,8.36,12.15,66.0,0.0,76.0,3.65,1.46,0.53,12.15,8.36
28115521,Jordan Thomas,D (R),23,"5'10""",0,425,,30/6/2027,3699,Hampton & Richmond,Vanarama National League South,1,50,84.0,66.0,83.0,13.11,11.95,66.0,0.0,83.0,3.72,2.02,0.51,11.95,13.11
2000141028,Roddy McGlinchey,"DM, M (C)",19,"6'2""",0,400,,30/6/2024,1124,Banbury,Vanarama National League North,1,44,87.0,66.0,79.0,5.52,7.61,66.0,0.0,79.0,3.76,0.88,0.24,7.61,5.52
28116464,Cameron Evans,D (C),23,"5'11""",0,230,,-,3220,Taunton,Vanarama National League South,1,50,83.0,66.0,74.0,3.75,16.94,66.0,0.0,74.0,5.00,0.73,0.59,16.94,3.75
90076147,Toby Lees,D (C),27,"6'3""",0,400,,30/6/2024,2444,Darlington,Vanarama National League North,1,49,82.0,66.0,75.0,9.83,12.19,66.0,0.0,75.0,5.49,1.58,0.81,12.19,9.83
2000101650,Kyle Fanning,"D (C), DM",19,"6'4""",0,475,,30/6/2024,1941,Curzon Ashton,Vanarama National League North,1,46,89.0,66.0,79.0,7.56,10.2,66.0,0.0,79.0,4.03,1.76,0.28,10.2,7.56
2000045041,Cianole Nguepissi,D (C),20,"5'11""",0,525,,30/6/2025,3593,Torquay,Vanarama National League South,1,52,87.0,66.0,74.0,3.93,16.21,66.0,0.0,74.0,5.06,0.98,0.50,16.21,3.93
29171001,Ryan Law,D/WB (L),24,"6'0""",0,300,,30/6/2025,3764,Truro,Vanarama National League South,1,48,81.0,66.0,87.0,12.43,12.48,66.0,0.0,87.0,4.38,2.77,0.55,12.48,12.43
28028342,Blair Adams,D/WB (L),32,"5'11""",0,575,,30/6/2024,2596,South Shields,Vanarama National League North,1,50,87.0,66.0,84.0,10.64,13.56,66.0,0.0,84.0,4.61,1.77,0.94,13.56,10.64
2000058113,Kyle Smith,"D (RC), WB (R)",19,"5'8""",0,675,,30/6/2025,3891,Worthing,Vanarama National League South,1,50,89.0,65.0,85.0,3.72,14.23,65.0,0.0,85.0,5.00,0.9,0.56,14.23,3.72
89061033,George Carline,D/WB (R),31,"6'2""",0,825,,30/6/2024,2711,Brackley,Vanarama National League North,1,45,82.0,65.0,79.0,16.23,14.31,65.0,0.0,79.0,6.31,1.76,0.73,14.31,16.23
29219537,Brad Nicholson,D (LC),25,"6'2""",0,325,,30/6/2025,2092,Boston Utd,Vanarama National League North,1,58,82.0,65.0,78.0,13.25,14.07,65.0,0.0,78.0,4.90,1.85,0.73,14.07,13.25
29083573,Bradley Barry,D/WB (R),29,"5'11""",0,"1,200",,30/6/2025,4771,Eastbourne Borough,Vanarama National League South,1,57,85.0,65.0,83.0,15.36,11.81,65.0,0.0,83.0,3.85,2.47,0.47,11.81,15.36
2000105664,Jem Hewlett,D (C),19,"6'2""",0,575,,30/6/2025,3478,Chippenham,Vanarama National League South,1,51,83.0,65.0,84.0,3.6,18.99,65.0,0.0,84.0,5.28,1.09,0.54,18.99,3.6
29191692,Will Dean,DM,23,"5'10""",0,180,,-,3731,Truro,Vanarama National League South,1,48,87.0,64.0,77.0,6.61,11.53,64.0,0.0,77.0,3.23,1.86,0.41,11.53,6.61
89066034,Alfy Whittingham,"DM, M (C)",25,"6'0""",0,475,,30/6/2026,2834,Hampton & Richmond,Vanarama National League South,1,50,89.0,64.0,86.0,6.32,12.77,64.0,0.0,86.0,2.41,1.78,0.44,12.77,6.32
29214239,Reece Staunton,D (C),22,"6'0""",0,350,,30/6/2025,4590,Spennymoor,Vanarama National League North,1,46,83.0,64.0,73.0,9.67,11.92,64.0,0.0,73.0,3.57,0.86,0.67,11.92,9.67
2000280919,Dan Bayliss,D (C),25,"6'0""",0,350,,30/5/2025,4335,Slough,Vanarama National League South,1,50,85.0,64.0,72.0,3.72,14.37,64.0,0.0,72.0,5.21,1.0,0.48,14.37,3.72
2000039630,Kyle Ajayi,D (C),23,"6'2""",0,0,,-,1818,Hemel Hempstead,Vanarama National League South,1,46,83.0,64.0,88.0,5.2,12.38,64.0,0.0,88.0,5.94,1.09,0.40,12.38,5.2
